time,symbol,outcome,confidence,ema_slope,h1_dist,max_fav,direction
2025-12-26 08:30:00+00:00,NZDUSD=X,BE,9.5,0.0008,0.0002811091564111892,0.871,BUY
2025-12-26 09:45:00+00:00,USDCAD=X,LOSS,9.5,-0.0065,-0.0011873378049412078,0.426,SELL
2025-12-26 11:30:00+00:00,GC=F,BE,9.5,0.0744,0.017557727194521647,0.968,BUY
2025-12-26 13:00:00+00:00,USDJPY=X,LOSS,9.0,0.0061,0.0012149822952007114,0.083,BUY
2025-12-26 17:15:00+00:00,GBPUSD=X,BE,10.0,0.003,0.0009561533591480944,0.703,BUY
2025-12-26 18:15:00+00:00,^GSPC,BE,9.0,0.0517,0.012361218359200425,0.862,BUY
2025-12-26 20:45:00+00:00,^IXIC,LOSS,9.0,0.049,0.011574910347151877,0.0,BUY
2025-12-29 06:15:00+00:00,AUDUSD=X,WIN,10.0,0.0113,0.0026459344561339197,1.026,BUY
2025-12-29 15:00:00+00:00,^GSPC,BE,9.0,0.0427,0.008802287650459598,0.965,BUY
2025-12-29 17:15:00+00:00,^IXIC,WIN,9.0,0.0162,0.003139565530910336,1.219,BUY
2025-12-30 00:00:00+00:00,USDJPY=X,WIN,9.0,-0.0015,0.0004102872665967167,1.599,BUY
2025-12-30 02:00:00+00:00,NZDUSD=X,WIN,10.0,-0.0075,-0.0017834912403229858,1.364,SELL
2025-12-30 08:45:00+00:00,AUDUSD=X,WIN,10.0,0.0052,0.0011445552376864964,1.307,BUY
2025-12-30 15:30:00+00:00,USDCAD=X,WIN,9.5,0.001,-0.00043236107965712435,1.276,SELL
2025-12-31 13:00:00+00:00,GBPUSD=X,LOSS,9.5,-0.006,-0.001947898699815129,0.266,SELL
2025-12-31 14:45:00+00:00,^GSPC,LOSS,9.0,0.0172,0.0031809219799471635,0.817,BUY
2025-12-31 15:15:00+00:00,^IXIC,LOSS,9.0,0.0071,0.0007226736888483096,0.601,BUY
2025-12-31 21:00:00+00:00,USDJPY=X,BE,9.0,0.0073,0.0018860381710724041,0.688,BUY
2026-01-02 10:00:00+00:00,NZDUSD=X,LOSS,9.5,-0.0035,-0.000638106830169573,0.0,SELL
2026-01-02 13:15:00+00:00,GC=F,BE,11.5,-0.006,-0.0047701275715082096,1.534,SELL
2026-01-02 15:15:00+00:00,USDJPY=X,LOSS,9.0,0.0052,0.00046685828279107637,0.161,BUY
2026-01-02 21:30:00+00:00,NZDUSD=X,LOSS,11.5,-0.0045,-0.000863122313263592,0.194,SELL
