timestamp,symbol,direction,entry,sl,tp,sl_distance_pips,peak_profit_pips,peak_profit_r,bars_to_peak,confidence
2026-01-21 10:55:00+00:00,GBPUSD=X,SELL,1.3407881259918213,1.3413869992849645,1.340289064914202,5.988732931432317,5.210638046264648,0.8700735374115987,6,1.2019
2026-01-21 11:05:00+00:00,GBPUSD=X,SELL,1.340644359588623,1.341243932774685,1.3401447152669048,5.995731860619635,3.7729740142822266,0.6292766424501687,4,1.126
2026-01-21 11:10:00+00:00,GBPUSD=X,SELL,1.3405184745788574,1.3411145193025675,1.3400217706424324,5.960447237101096,2.5141239166259766,0.421801220045484,3,1.122
2026-01-22 04:05:00+00:00,GBPUSD=X,BUY,1.3437248468399048,1.343346132945664,1.3440404417517722,3.7871389424082302,2.5284290313720703,0.6676356663492916,6,1.143
2026-01-22 04:10:00+00:00,GBPUSD=X,BUY,1.3439414501190186,1.3435480060642258,1.3442693201646791,3.93444054792802,0.362396240234375,0.09210870918489858,2,1.3533
2026-01-22 08:30:00+00:00,GBPUSD=X,SELL,1.3414175510406494,1.3420420218754308,1.3408971586783316,6.244708347813432,3.2377243041992188,0.5184748628545477,6,1.6478
2026-01-22 08:40:00+00:00,GBPUSD=X,SELL,1.3414356708526611,1.3420613737348572,1.3409142517841643,6.257028821960997,1.9800662994384766,0.31645471928926,4,1.4964
2026-01-22 09:45:00+00:00,GBPUSD=X,BUY,1.3444112539291382,1.3436886292591401,1.3450134411541366,7.226246699980621,5.786418914794922,0.8007502587491844,7,1.4489
2026-01-22 09:55:00+00:00,GBPUSD=X,BUY,1.34442937374115,1.3437632990431854,1.3449844359894536,6.66074697964536,5.605220794677734,0.8415303586529832,5,1.3939
2026-01-22 10:50:00+00:00,GBPUSD=X,BUY,1.3448994159698486,1.3442485110238547,1.345441836758177,6.509049459939575,3.980398178100586,0.6115175806541707,4,1.1428
2026-01-22 11:00:00+00:00,GBPUSD=X,BUY,1.3450984954833984,1.3444586935652227,1.3456316637485448,6.398019181756975,1.989603042602539,0.3109717220410348,2,1.1663
2026-01-22 16:15:00+00:00,GBPUSD=X,BUY,1.3497462272644043,1.3487676547676517,1.3505617043450313,9.785724967525944,1.4579296112060547,0.14898534508625708,9,1.5594
2026-01-22 16:20:00+00:00,GBPUSD=X,BUY,1.34969162940979,1.3487548453980438,1.3504722827529119,9.36784011746239,0.9107589721679688,0.09722187406574569,8,1.4709
2026-01-22 16:25:00+00:00,GBPUSD=X,BUY,1.3494912385940552,1.3485838934343397,1.3502473595604847,9.07345159715467,2.7322769165039062,0.3011287256285929,7,1.3508
2026-01-22 16:35:00+00:00,GBPUSD=X,BUY,1.3493820428848267,1.3484804961606691,1.3501333318216246,9.015467241575426,3.8242340087890625,0.4241858914592195,5,1.1902
2026-01-22 16:40:00+00:00,GBPUSD=X,BUY,1.349582314491272,1.348695995238727,1.350320913868393,8.863192525450092,1.8215179443359375,0.2055148795544681,4,1.1699
2026-01-22 16:45:00+00:00,GBPUSD=X,BUY,1.3496187925338745,1.3487700172659167,1.3503261052571727,8.487752679577909,0.3635883331298828,0.042836819928165466,3,1.1257
2026-01-23 09:45:00+00:00,GBPUSD=X,BUY,1.3530884981155396,1.3522473884519663,1.3537894228351839,8.41109663573203,5.127191543579102,0.6095746804046647,18,2.1781
2026-01-23 09:50:00+00:00,GBPUSD=X,BUY,1.3531250953674316,1.3523275885387365,1.3537896843913442,7.975068286951714,4.761219024658203,0.5970129475189823,13,2.2089
2026-01-23 09:55:00+00:00,GBPUSD=X,BUY,1.3529419898986816,1.352137887153266,1.3536120755198613,8.041027454155358,6.592273712158203,0.8198297729665773,16,1.9873
2026-01-23 10:10:00+00:00,GBPUSD=X,BUY,1.3529237508773804,1.3520986891747535,1.353611302296236,8.250617026268614,6.774663925170898,0.8211099731815787,13,1.5822
2026-01-23 10:20:00+00:00,GBPUSD=X,BUY,1.3533997535705566,1.3525664457589655,1.3540941767468826,8.333078115911885,2.014636993408203,0.24176384349035257,7,1.6043
2026-01-23 10:25:00+00:00,GBPUSD=X,BUY,1.3533997535705566,1.3526024256138112,1.3540641935345112,7.97327956745475,2.014636993408203,0.25267356755324716,6,1.5173
2026-01-23 10:35:00+00:00,GBPUSD=X,BUY,1.3530151844024658,1.352228797751214,1.3536705066118424,7.86386651251858,0.91552734375,0.11642203517729623,8,1.2119
2026-01-23 17:30:00+00:00,GBPUSD=X,BUY,1.3609145879745483,1.359944109376499,1.3617233201395895,9.704785980493291,1.8513202667236328,0.19076363666801138,8,1.4741
2026-01-23 17:45:00+00:00,GBPUSD=X,BUY,1.360784888267517,1.3598150507929572,1.3615930861629837,9.698374745599203,3.148317337036133,0.3246231888971638,5,1.2929
2026-01-23 17:50:00+00:00,GBPUSD=X,BUY,1.3608219623565674,1.3598880629610053,1.3616002118528692,9.338993955620989,2.777576446533203,0.2974170943607288,4,1.246
2026-01-26 09:30:00+00:00,GBPUSD=X,BUY,1.3672783374786377,1.3664544558471998,1.367964905504836,8.238816314378727,3.9267539978027344,0.4766162817527075,31,1.3953
2026-01-26 09:40:00+00:00,GBPUSD=X,BUY,1.3676148653030396,1.36671688168175,1.3683631849874476,8.979836212894554,0.5614757537841797,0.06252628004260603,21,1.565
2026-01-26 09:45:00+00:00,GBPUSD=X,BUY,1.3675401210784912,1.3666750122507774,1.3682610451015862,8.651088277138452,0.18596649169921875,0.02149631187912597,20,1.4626
2026-01-26 09:50:00+00:00,GBPUSD=X,BUY,1.3671101331710815,1.3662515336715373,1.367825632754035,8.585994995442547,4.485845565795898,0.5224607710785982,27,1.1154
