Symbol,Day,Hour,AvgRet%,WinRate,T-stat,P-val,N
GOLD,Mon,16,0.03392899346878886,0.5663716814159292,2.015994025066172,0.046194217447763926,113
GBPJPY,Mon,22,0.012715447946562554,0.5586206896551724,2.128112247577165,0.03503051351409028,145
USDJPY,Mon,23,0.01899724946797987,0.5547945205479452,2.2950449452831636,0.023165366229893746,146
EURUSD,Mon,5,0.010851556492515181,0.5486111111111112,2.3550086397908396,0.019881289941661277,144
EURUSD,Mon,21,0.014062574971118683,0.547945205479452,3.0423615410922995,0.0027871598863864313,146
EURUSD,Mon,0,0.014895510415533537,0.5416666666666666,2.4450640084842,0.015698126662799326,144
BTC,Mon,7,0.13824271487811698,0.5384615384615384,2.7103577404591523,0.007874759356616759,104
BTC,Mon,22,0.10345651562577238,0.5,2.0408550548366913,0.04382289468374129,104
EURUSD,Mon,4,0.007817894031542663,0.4861111111111111,2.0303829822475463,0.044171360533041236,144
EURUSD,Mon,18,0.013245444579236853,0.47586206896551725,2.458371935384978,0.015142948482238017,145
GBPJPY,Mon,3,-0.01525270681935528,0.4375,-1.9881560932772488,0.04870354076742935,144
EURUSD,Mon,22,0.006985995373350453,0.43448275862068964,1.9925384040363063,0.0482022752055971,145
GBPJPY,Mon,21,-0.008895781359786546,0.410958904109589,-2.066532184664999,0.040557180294981336,146
GBPJPY,Mon,0,-0.020138651600767762,0.4097222222222222,-2.175456885411556,0.03123903536708366,144
AUDUSD,Mon,23,-0.021582498605325,0.3972602739726027,-3.0522534747322414,0.0027023401562640795,146
USDJPY,Mon,0,-0.03520463787473271,0.3958333333333333,-3.063178743449493,0.0026176125342968893,144
USDJPY,Mon,21,-0.008203524119473652,0.3904109589041096,-2.8791881814852065,0.004591239748737215,146
EURUSD,Mon,23,-0.010666773828127845,0.3586206896551724,-2.2197418836779055,0.027999713533822957,145
BTC,Thu,21,0.17335801460944467,0.625,3.213195035410514,0.001752667248406231,104
OIL,Thu,21,0.08114682901068891,0.6136363636363636,2.3495169268006872,0.023459672108671538,44
GOLD,Thu,6,0.03584725182378056,0.6050420168067226,2.1598744100499334,0.032805127370321756,119
USDJPY,Thu,16,0.016118337515574194,0.5763888888888888,2.113349777311753,0.03630737505323975,144
GOLD,Thu,20,0.053992166174358106,0.5726495726495726,2.4295915814478106,0.016649290583094275,117
OIL,Thu,0,0.048035608458459784,0.5652173913043478,2.28963219729048,0.023883086900703804,115
AUDUSD,Thu,1,0.023571357407142016,0.5547945205479452,1.9977269640548976,0.04761687341479164,146
EURUSD,Thu,22,0.008355474201714272,0.5068493150684932,2.640550343433575,0.009183940395776535,146
EURUSD,Thu,21,0.008794792022433613,0.4930555555555556,2.591406344098544,0.010549561295391655,144
BTC,Thu,18,-0.1087867830914358,0.4807692307692308,-2.1578222473219566,0.03326575111395997,104
GBPJPY,Thu,10,-0.015173893252689781,0.45517241379310347,-1.9797801969477917,0.04963456235772029,145
GBPJPY,Thu,13,-0.026863259021291733,0.4375,-2.4468765532296013,0.015622640182767376,144
BTC,Thu,19,-0.16666850932214003,0.3942307692307692,-2.9403150560092106,0.004048811741683367,104
OIL,Thu,22,-0.05268788217466583,0.35294117647058826,-2.1731464874885047,0.033309070202785215,68
GBPJPY,Tue,23,0.012687272647530655,0.6413793103448275,2.182072264621586,0.030725756642256137,145
GOLD,Tue,13,0.08301955862034588,0.6209677419354839,2.285981745355928,0.023966402958818786,124
GOLD,Tue,16,0.0526741030178075,0.616,2.747507201350458,0.006900847956054725,125
AUDUSD,Tue,21,0.011593973773259738,0.6095890410958904,2.353160648252256,0.019957572898408334,146
GOLD,Tue,19,0.031935375072891146,0.5967741935483871,2.8239061724051635,0.005536116003868666,124
GBPJPY,Tue,15,0.029084102705092138,0.5958904109589042,2.8029595543104273,0.005756780088661223,146
GBPUSD,Tue,18,0.012603674748177324,0.5821917808219178,2.267025971590792,0.024867526449140524,146
USDJPY,Tue,15,0.02441681624413656,0.5821917808219178,2.226178339220619,0.02754483443579928,146
